max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,max,min
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.9098901098901099,0.9035087719298246,0,0
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.6373626373626373,0.5877192982456141,0,1
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.9120879120879121,0.9035087719298246,0,0
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.6373626373626373,0.5877192982456141,0,0
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.6373626373626373,0.5877192982456141,0,0
15,0.99,0.0,0.01,0.01,0.01,0.945054945054945,0.9736842105263158,0,0
15,0.99,0.0,0.49,0.99,0.49,0.6373626373626373,0.5877192982456141,0,0
15,0.74,0.0,0.01,0.01,0.01,0.945054945054945,0.9649122807017544,0,0
15,0.74,0.0,0.01,0.99,0.49,0.6373626373626373,0.5877192982456141,0,0
15,0.99,0.0,0.01,0.99,0.01,0.6373626373626373,0.5877192982456141,0,0
9,0.7,0.0,0.01,0.01,0.01,0.9472527472527472,0.956140350877193,0,0
15,0.74,0.0,0.01,0.99,0.01,0.6373626373626373,0.5877192982456141,0,0
15,0.74,0.0,0.09,0.23,0.09,0.9230769230769231,0.9385964912280702,0,0
15,0.74,0.0,0.01,0.03,0.12,0.9252747252747253,0.9473684210526315,0,0
15,0.45,0.0,0.01,0.1,0.01,0.9318681318681319,0.9736842105263158,0,0
14,0.55,0.0,0.08,0.11,0.11,0.9340659340659341,0.9385964912280702,0,0
15,0.83,0.0,0.01,0.01,0.01,0.9516483516483516,0.956140350877193,1,0
15,0.92,0.0,0.01,0.01,0.01,0.9472527472527472,0.956140350877193,0,0
15,0.9,0.0,0.01,0.01,0.01,0.9472527472527472,0.956140350877193,0,0
15,0.91,0.0,0.01,0.01,0.01,0.9472527472527472,0.956140350877193,0,0
15,0.01,0.0,0.01,0.01,0.01,0.9516483516483516,0.9210526315789473,0,0
15,0.98,0.0,0.01,0.01,0.01,0.945054945054945,0.9736842105263158,0,0
14,0.94,0.0,0.01,0.01,0.01,0.9472527472527472,0.9649122807017544,0,0
15,0.55,0.0,0.01,0.01,0.01,0.9362637362637363,0.9473684210526315,0,0
13,0.98,0.0,0.02,0.02,0.02,0.9406593406593406,0.9736842105263158,0,0
15,0.94,0.0,0.01,0.01,0.01,0.9472527472527472,0.9649122807017544,0,0
15,0.97,0.0,0.01,0.01,0.01,0.945054945054945,0.9736842105263158,0,0
10,0.5,0.0,0.01,0.01,0.01,0.945054945054945,0.9736842105263158,0,0
15,0.66,0.0,0.01,0.01,0.01,0.945054945054945,0.9736842105263158,0,0
15,0.95,0.0,0.01,0.01,0.01,0.9472527472527472,0.9649122807017544,0,0
